Locality 0,Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GREEN LAKE,Green Lake,"$230,000 ","$247,500 ","$250,000 ","$262,500 ","$254,500 ","$281,500 ","$305,000 ","$280,000 ","$270,000 ","$290,000 ","$360,000 "
GREENSBOROUGH,Greensborough,"$530,000 ","$519,000 ","$491,000 ","$534,000 ","$574,000 ","$635,000 ","$717,000 ","$830,000 ","$815,000 ","$798,000 ","$850,000 "
GREENVALE,Greenvale,"$517,500 ","$545,000 ","$537,000 ","$550,000 ","$539,500 ","$500,000 ","$510,000 ","$650,000 ","$720,000 ","$715,000 ","$718,500 "
GROVEDALE,Grovedale,"$335,000 ","$345,000 ","$340,000 ","$352,000 ","$362,000 ","$370,000 ","$400,000 ","$432,000 ","$495,000 ","$505,000 ","$550,000 "
HADFIELD,Hadfield,"$530,000 ","$486,000 ","$430,000 ","$461,500 ","$500,000 ","$550,000 ","$624,500 ","$740,500 ","$741,500 ","$730,000 ","$745,000 "
HALLAM,Hallam,"$365,000 ","$360,000 ","$360,000 ","$362,500 ","$380,000 ","$424,000 ","$458,500 ","$580,000 ","$630,000 ","$550,000 ","$600,000 "
HALLS GAP,Halls Gap,"$257,500 ","$255,000 ","$233,500 ","$184,500 ","$224,500 ","$245,000 ","$272,500 ","$280,000 ","$355,000 ","$320,000 ","$350,000 "
HAMILTON,Hamilton,"$203,500 ","$217,500 ","$189,000 ","$192,500 ","$200,000 ","$200,000 ","$217,000 ","$190,000 ","$225,000 ","$209,500 ","$252,500 "
HAMLYN HEIGHTS,Hamlyn Heights,"$345,000 ","$348,000 ","$339,500 ","$363,500 ","$366,500 ","$382,500 ","$415,000 ","$500,000 ","$545,000 ","$540,000 ","$561,000 "
HAMPTON,Hampton,"$1,295,000 ","$1,282,500 ","$1,200,000 ","$1,270,000 ","$1,340,000 ","$1,650,000 ","$1,800,000 ","$2,022,500 ","$1,905,000 ","$1,900,000 ","$2,000,000 "
HAMPTON EAST,Hampton East,"$813,000 ","$747,500 ","$732,500 ","$770,000 ","$862,500 ","$1,020,000 ","$1,200,000 ","$1,340,000 ","$1,230,000 ","$1,211,500 ","$1,290,500 "
HAMPTON PARK,Hampton Park,"$333,000 ","$335,000 ","$320,000 ","$330,000 ","$337,500 ","$370,000 ","$410,000 ","$505,000 ","$550,000 ","$502,000 ","$539,000 "
HARCOURT,Harcourt,"$350,000 ","$268,000 ","$287,500 ","$309,000 ","$358,000 ","$295,000 ","$377,500 ","$385,000 ","$375,000 ","$420,000 ","$527,500 "
HARKNESS,Harkness,"$310,000 ","$336,500 ","$329,000 ","$330,000 ","$340,000 ","$350,000 ","$360,000 ","$419,500 ","$485,000 ","$475,000 ","$490,000 "
HASTINGS,Hastings,"$355,000 ","$350,000 ","$347,000 ","$345,000 ","$368,000 ","$365,000 ","$400,000 ","$507,500 ","$519,500 ","$506,000 ","$562,000 "
HASTINGS WEST,Hastings West,"$265,000 ","$272,000 ","$282,500 ","$280,000 ","$277,000 ","$289,500 ","$338,000 ","$425,000 ","$480,000 ","$430,000 ","$487,500 "
HAWTHORN,Hawthorn,"$1,430,000 ","$1,330,000 ","$1,405,000 ","$1,575,000 ","$1,606,500 ","$1,916,500 ","$2,245,000 ","$2,650,000 ","$2,506,500 ","$2,200,000 ","$2,492,500 "
HAWTHORN EAST,Hawthorn East,"$1,400,000 ","$1,250,500 ","$1,300,000 ","$1,247,500 ","$1,554,000 ","$1,850,000 ","$1,890,000 ","$2,350,000 ","$2,221,500 ","$2,137,500 ","$2,297,500 "
HEALESVILLE,Healesville,"$361,500 ","$380,000 ","$380,000 ","$385,500 ","$400,000 ","$447,500 ","$457,000 ","$550,000 ","$601,000 ","$580,000 ","$600,000 "
HEATHCOTE,Heathcote,"$217,000 ","$200,000 ","$220,000 ","$227,500 ","$260,000 ","$240,000 ","$268,500 ","$275,000 ","$310,000 ","$335,000 ","$372,500 "
HEATHERTON,Heatherton,"$625,000 ","$632,000 ","$630,000 ","$630,000 ","$712,000 ","$771,000 ","$845,000 ","$981,000 ","$935,000 ","$965,000 ","$973,000 "
HEATHMONT,Heathmont,"$539,500 ","$509,000 ","$525,000 ","$589,000 ","$638,000 ","$760,000 ","$789,000 ","$925,000 ","$932,000 ","$871,000 ","$930,000 "
HEIDELBERG,Heidelberg,"$815,000 ","$770,000 ","$750,000 ","$772,500 ","$840,500 ","$1,060,000 ","$1,150,000 ","$1,280,000 ","$1,114,000 ","$1,107,500 ","$1,300,000 "
HEIDELBERG HEIGHTS,Heidelberg Heights,"$560,000 ","$537,500 ","$500,000 ","$536,500 ","$564,500 ","$676,500 ","$750,000 ","$846,000 ","$820,000 ","$780,000 ","$800,000 "
HEIDELBERG WEST,Heidelberg West,"$475,000 ","$420,000 ","$400,000 ","$425,500 ","$461,000 ","$580,000 ","$630,000 ","$730,500 ","$700,000 ","$671,500 ","$713,000 "
HEPBURN,Hepburn,"$317,000 ","$310,000 ","$275,000 ","$291,000 ","$330,000 ","$395,000 ","$375,000 ","$440,000 ","$425,000 ","$452,500 ","$535,000 "
HEPBURN SPRINGS,Hepburn Springs,"$298,000 ","$308,000 ","$310,000 ","$340,000 ","$350,000 ","$380,000 ","$414,000 ","$515,000 ","$490,000 ","$595,000 ","$570,000 "
HERNE HILL,Herne Hill,"$321,000 ","$325,000 ","$321,000 ","$350,000 ","$357,000 ","$368,500 ","$402,000 ","$490,000 ","$550,000 ","$534,000 ","$600,000 "
HEYFIELD,Heyfield,"$155,000 ","$175,000 ","$171,500 ","$200,000 ","$180,000 ","$182,500 ","$195,000 ","$178,500 ","$206,500 ","$195,000 ","$230,000 "
HEYWOOD,Heywood,"$172,000 ","$167,500 ","$153,000 ","$142,000 ","$150,000 ","$173,000 ","$160,000 ","$164,000 ","$166,000 ","$178,000 ","$185,000 "
HIGHETT,Highett,"$760,000 ","$711,000 ","$682,500 ","$750,000 ","$850,000 ","$992,500 ","$1,175,000 ","$1,318,500 ","$1,275,000 ","$1,234,000 ","$1,312,500 "
HIGHTON,Highton,"$437,000 ","$450,000 ","$460,000 ","$477,500 ","$510,000 ","$505,000 ","$555,000 ","$622,500 ","$681,000 ","$690,000 ","$742,500 "
HILLSIDE (MELTON),Hillside (Melton),"$420,000 ","$415,000 ","$425,000 ","$430,000 ","$440,000 ","$470,000 ","$525,500 ","$620,000 ","$645,000 ","$642,000 ","$680,000 "
HOPETOUN,Hopetoun,"$63,000 ","$55,500 ","$81,000 ","$88,000 ","$95,500 ","$75,000 ","$80,000 ","$92,000 ","$86,000 ","$66,000 ","$150,000 "
HOPPERS CROSSING,Hoppers Crossing,"$327,500 ","$328,000 ","$312,500 ","$321,500 ","$340,000 ","$365,500 ","$415,000 ","$516,000 ","$552,000 ","$526,500 ","$550,000 "
HORSHAM,Horsham,"$187,000 ","$210,000 ","$220,000 ","$215,000 ","$215,000 ","$240,000 ","$245,000 ","$262,500 ","$255,000 ","$269,000 ","$260,000 "
HUGHESDALE,Hughesdale,"$838,000 ","$740,000 ","$741,500 ","$820,000 ","$856,000 ","$1,165,000 ","$1,222,500 ","$1,407,000 ","$1,260,000 ","$1,150,500 ","$1,250,000 "
HUNTINGDALE,Huntingdale,"$642,500 ","$610,000 ","$590,000 ","$659,000 ","$728,000 ","$835,000 ","$924,500 ","$1,132,000 ","$1,010,000 ","$914,000 ","$1,067,500 "
HUNTLY,Huntly,"$269,500 ","$250,000 ","$215,000 ","$337,500 ","$325,000 ","$355,000 ","$340,000 ","$335,000 ","$357,500 ","$367,500 ","$388,000 "
HURSTBRIDGE,Hurstbridge,"$491,000 ","$457,500 ","$445,000 ","$482,000 ","$482,000 ","$547,500 ","$614,500 ","$714,000 ","$731,000 ","$700,000 ","$775,000 "
INDENTED HEAD,Indented Head,"$360,000 ","$347,000 ","$430,000 ","$390,000 ","$385,000 ","$382,500 ","$395,000 ","$455,000 ","$575,500 ","$606,000 ","$590,000 "
INGLEWOOD,Inglewood,"$170,000 ","$208,500 ","$186,500 ","$160,000 ","$145,000 ","$200,000 ","$152,500 ","$182,500 ","$180,000 ","$185,000 ","$212,000 "
INVERLOCH,Inverloch,"$422,500 ","$450,000 ","$420,000 ","$431,000 ","$440,000 ","$425,000 ","$442,500 ","$495,000 ","$598,000 ","$590,000 ","$665,000 "
INVERMAY PARK,Invermay Park,"$337,500 ","$363,500 ","$370,000 ","$378,000 ","$387,000 ","$405,000 ","$377,500 ","$391,000 ","$465,000 ","$475,000 ","$485,000 "
IRONBARK,Ironbark,"$232,000 ","$287,000 ","$280,000 ","$277,000 ","$280,000 ","$292,500 ","$365,000 ","$280,000 ","$320,000 ","$304,000 ","$438,500 "
IRYMPLE,Irymple,"$213,500 ","$228,000 ","$215,000 ","$248,000 ","$228,500 ","$268,000 ","$255,000 ","$291,000 ","$310,000 ","$386,500 ","$352,000 "
IVANHOE,Ivanhoe,"$1,032,500 ","$980,000 ","$907,500 ","$1,100,000 ","$1,203,000 ","$1,125,000 ","$1,400,000 ","$1,515,000 ","$1,600,000 ","$1,580,000 ","$1,630,000 "
IVANHOE EAST,Ivanhoe East,"$1,415,000 ","$1,300,000 ","$1,200,000 ","$1,310,000 ","$1,513,000 ","$1,542,500 ","$1,764,500 ","$1,975,000 ","$1,914,000 ","$1,775,000 ","$2,055,000 "
JACANA,Jacana,"$391,000 ","$345,000 ","$310,500 ","$334,000 ","$342,500 ","$375,000 ","$423,000 ","$571,500 ","$555,000 ","$512,500 ","$555,000 "
JACKASS FLAT,Jackass Flat,"$275,000 ","$255,000 ","$357,500 ","$287,500 ","$360,000 ","$350,500 ","$345,500 ","$299,000 ","$310,000 ","$331,500 ","$401,000 "
JAN JUC,Jan Juc,"$542,500 ","$587,500 ","$570,000 ","$555,000 ","$595,000 ","$615,000 ","$716,000 ","$850,000 ","$905,000 ","$870,000 ","$961,000 "
JEERALANG NORTH,Jeeralang North,"$152,000 ","$129,000 ","$159,500 ","$145,500 ","$187,500 ","$175,000 ","$140,000 ","$248,000 ","$170,000 ","$235,000 ","$241,000 "
JEPARIT,Jeparit,"$66,000 ","$101,500 ","$59,000 ","$80,500 ","$63,000 ","$89,000 ","$124,000 ","$66,500 ","$77,000 ","$81,000 ","$110,000 "
JUNCTION VILLAGE,Junction Village,"$314,500 ","$287,500 ","$300,000 ","$312,000 ","$320,000 ","$370,000 ","$389,000 ","$436,000 ","$509,000 ","$483,500 ","$515,000 "
JUNORTOUN,Junortoun,"$420,000 ","$425,000 ","$465,000 ","$490,000 ","$508,500 ","$417,500 ","$490,000 ","$512,500 ","$506,500 ","$530,000 ","$599,000 "
KALIMNA,Kalimna,"$265,000 ","$312,500 ","$268,000 ","$230,000 ","$285,000 ","$300,000 ","$270,000 ","$276,500 ","$326,500 ","$292,500 ","$350,000 "
KALKALLO,Kalkallo,"$215,000 ","$375,000 ","$272,500 ","$450,000 ","$450,000 ","$180,000 ","$432,500 ","$529,500 ","$548,000 ","$538,000 ","$555,000 "
KALLISTA,Kallista,"$450,000 ","$482,000 ","$452,500 ","$425,000 ","$465,000 ","$523,000 ","$567,500 ","$676,000 ","$737,500 ","$700,000 ","$707,500 "
KALORAMA,Kalorama,"$440,000 ","$440,000 ","$420,000 ","$442,500 ","$451,000 ","$496,000 ","$533,000 ","$670,000 ","$686,500 ","$645,000 ","$697,500 "
KANGAROO FLAT,Kangaroo Flat,"$252,000 ","$270,000 ","$284,500 ","$292,500 ","$300,000 ","$303,000 ","$300,000 ","$310,000 ","$325,000 ","$340,000 ","$380,000 "
KANGAROO GROUND SOUTH,Kangaroo Ground South,"$679,500 ","$606,500 ","$631,000 ","$615,000 ","$655,000 ","$650,000 ","$670,000 ","$853,500 ","$930,000 ","$815,500 ","$970,000 "
KANIVA,Kaniva,"$94,000 ","$90,000 ","$87,000 ","$75,000 ","$87,500 ","$100,000 ","$120,000 ","$157,500 ","$164,000 ","$169,500 ","$115,000 "
KEALBA,Kealba,"$385,500 ","$372,500 ","$375,000 ","$370,000 ","$390,000 ","$400,000 ","$470,000 ","$595,000 ","$612,000 ","$596,000 ","$600,000 "
KEILOR,Keilor,"$603,000 ","$570,000 ","$592,500 ","$572,500 ","$633,000 ","$703,000 ","$805,000 ","$845,000 ","$815,000 ","$836,500 ","$880,000 "
KEILOR DOWNS,Keilor Downs,"$423,000 ","$405,000 ","$400,000 ","$403,500 ","$429,000 ","$496,500 ","$562,000 ","$670,000 ","$666,000 ","$630,000 ","$662,000 "
KEILOR EAST,Keilor East,"$580,000 ","$587,500 ","$527,500 ","$560,000 ","$599,000 ","$651,000 ","$720,000 ","$843,000 ","$830,000 ","$835,000 ","$841,000 "
KEILOR LODGE,Keilor Lodge,"$460,000 ","$520,000 ","$480,000 ","$490,000 ","$500,000 ","$555,500 ","$607,500 ","$760,000 ","$715,000 ","$740,000 ","$757,500 "
KEILOR PARK,Keilor Park,"$514,500 ","$501,000 ","$480,000 ","$455,000 ","$512,500 ","$565,000 ","$650,000 ","$741,000 ","$770,000 ","$704,000 ","$735,000 "
KENNINGTON,Kennington,"$295,000 ","$306,000 ","$300,000 ","$351,500 ","$345,000 ","$334,000 ","$355,000 ","$372,000 ","$383,500 ","$373,500 ","$426,500 "
KENSINGTON,Kensington,"$675,500 ","$650,000 ","$650,000 ","$690,000 ","$730,000 ","$822,000 ","$908,000 ","$1,019,000 ","$1,020,000 ","$978,000 ","$1,103,500 "
KERANG,Kerang,"$147,500 ","$150,000 ","$150,000 ","$152,000 ","$145,000 ","$152,000 ","$167,000 ","$160,000 ","$177,000 ","$170,000 ","$197,000 "
KEW,Kew,"$1,650,000 ","$1,650,000 ","$1,500,000 ","$1,751,000 ","$1,950,000 ","$2,080,000 ","$2,207,500 ","$2,320,000 ","$2,380,000 ","$2,345,000 ","$2,210,000 "
KEW EAST,Kew East,"$1,085,000 ","$1,056,000 ","$1,005,000 ","$1,210,000 ","$1,314,000 ","$1,600,000 ","$1,655,000 ","$1,876,000 ","$1,800,000 ","$1,837,000 ","$1,785,000 "
KEW NORTH,Kew North,"$1,174,000 ","$1,071,000 ","$995,500 ","$1,260,000 ","$1,301,000 ","$1,665,000 ","$1,805,000 ","$1,880,000 ","$1,767,500 ","$1,833,000 ","$1,805,000 "
KEYSBOROUGH,Keysborough,"$417,500 ","$430,000 ","$425,000 ","$435,000 ","$456,500 ","$559,500 ","$650,000 ","$730,000 ","$756,000 ","$740,000 ","$765,500 "
KIALLA,Kialla,"$335,000 ","$360,000 ","$318,500 ","$360,000 ","$365,000 ","$367,500 ","$374,000 ","$390,000 ","$418,000 ","$450,000 ","$473,500 "
KILCUNDA,Kilcunda,"$350,000 ","$330,000 ","$350,000 ","$375,000 ","$320,000 ","$400,000 ","$480,000 ","$504,000 ","$496,000 ","$533,000 ","$670,000 "
KILMORE,Kilmore,"$327,500 ","$325,000 ","$312,000 ","$327,500 ","$319,000 ","$336,500 ","$333,000 ","$387,500 ","$440,000 ","$435,000 ","$475,000 "
KILSYTH,Kilsyth,"$432,500 ","$430,000 ","$415,000 ","$435,000 ","$460,000 ","$548,500 ","$620,000 ","$699,000 ","$685,500 ","$645,000 ","$680,000 "
KILSYTH SOUTH,Kilsyth South,"$515,500 ","$520,000 ","$501,000 ","$542,500 ","$575,000 ","$676,000 ","$738,000 ","$845,000 ","$826,000 ","$780,500 ","$865,000 "
KINGLAKE,Kinglake,"$280,000 ","$306,500 ","$310,000 ","$330,000 ","$318,000 ","$340,000 ","$346,000 ","$458,000 ","$480,000 ","$555,000 ","$600,000 "
KINGS PARK,Kings Park,"$340,000 ","$330,000 ","$324,000 ","$315,000 ","$325,000 ","$355,000 ","$415,000 ","$532,500 ","$550,000 ","$510,000 ","$550,000 "
KINGSBURY,Kingsbury,"$519,000 ","$475,000 ","$437,500 ","$470,000 ","$502,500 ","$560,000 ","$610,000 ","$731,000 ","$730,000 ","$660,000 ","$732,500 "
KINGSVILLE,Kingsville,"$630,000 ","$599,500 ","$597,500 ","$635,000 ","$703,500 ","$785,000 ","$925,000 ","$1,020,000 ","$990,000 ","$1,010,000 ","$988,500 "
KNOXFIELD,Knoxfield,"$471,000 ","$480,000 ","$465,000 ","$500,000 ","$580,000 ","$681,000 ","$740,000 ","$870,000 ","$815,000 ","$760,000 ","$810,000 "
KOO WEE RUP,Koo Wee Rup,"$297,000 ","$334,500 ","$320,000 ","$315,000 ","$335,000 ","$345,000 ","$400,000 ","$450,000 ","$508,500 ","$550,000 ","$535,000 "
KOONDROOK,Koondrook,"$239,500 ","$150,000 ","$165,000 ","$147,500 ","$155,000 ","$198,500 ","$165,000 ","$247,500 ","$268,000 ","$212,500 ","$234,500 "
KOOYONG,Kooyong,"$2,150,500 ","$1,510,500 ","$1,820,000 ","$1,417,500 ","$2,900,000 ","$3,400,000 ","$2,762,500 ","$3,950,000 ","$2,630,000 ","$3,585,000 ","$3,625,000 "
KOROIT,Koroit,"$236,000 ","$266,000 ","$290,000 ","$275,000 ","$300,000 ","$296,000 ","$294,000 ","$325,000 ","$349,000 ","$345,000 ","$395,000 "
KORUMBURRA,Korumburra,"$234,000 ","$237,500 ","$240,000 ","$236,000 ","$222,500 ","$262,500 ","$257,500 ","$292,000 ","$317,500 ","$319,500 ","$379,000 "
KURUNJANG,Kurunjang,"$288,000 ","$300,000 ","$281,000 ","$287,000 ","$280,000 ","$289,500 ","$310,000 ","$370,000 ","$435,000 ","$420,000 ","$431,000 "
KYABRAM,Kyabram,"$209,500 ","$200,000 ","$217,500 ","$237,000 ","$235,000 ","$240,000 ","$234,000 ","$239,000 ","$261,000 ","$263,000 ","$280,000 "
KYNETON,Kyneton,"$330,000 ","$370,000 ","$370,000 ","$369,000 ","$400,000 ","$425,500 ","$455,000 ","$495,000 ","$550,000 ","$595,000 ","$614,000 "
LAKE BOGA,Lake Boga,"$187,000 ","$212,500 ","$200,000 ","$200,000 ","$143,500 ","$245,000 ","$222,500 ","$182,500 ","$232,500 ","$239,000 ","$230,000 "
LAKE GARDENS,Lake Gardens,"$387,000 ","$400,500 ","$385,000 ","$445,000 ","$445,000 ","$461,000 ","$485,000 ","$461,500 ","$575,000 ","$552,500 ","$624,000 "
LAKE TYERS BEACH,Lake Tyers Beach,"$286,000 ","$285,000 ","$274,000 ","$270,000 ","$354,000 ","$330,000 ","$268,500 ","$362,500 ","$300,000 ","$357,500 ","$375,000 "
LAKE WENDOUREE,Lake Wendouree,"$550,000 ","$627,500 ","$545,000 ","$634,000 ","$650,000 ","$685,000 ","$700,000 ","$790,000 ","$775,000 ","$850,000 ","$1,000,000 "
LAKES ENTRANCE,Lakes Entrance,"$256,500 ","$300,000 ","$251,500 ","$269,500 ","$254,000 ","$255,500 ","$280,000 ","$281,500 ","$328,000 ","$300,000 ","$350,000 "
LALOR,Lalor,"$387,000 ","$380,000 ","$360,500 ","$365,000 ","$385,000 ","$445,000 ","$499,500 ","$625,500 ","$623,500 ","$590,000 ","$623,500 "
LANCEFIELD,Lancefield,"$281,000 ","$321,000 ","$315,000 ","$377,500 ","$362,000 ","$360,000 ","$360,000 ","$415,000 ","$456,000 ","$500,000 ","$540,000 "
LANG LANG,Lang Lang,"$260,000 ","$310,000 ","$277,500 ","$285,000 ","$295,000 ","$316,500 ","$355,000 ","$390,000 ","$475,000 ","$495,000 ","$540,000 "
LANGWARRIN,Langwarrin,"$395,000 ","$387,500 ","$375,000 ","$385,000 ","$420,000 ","$450,000 ","$503,000 ","$600,000 ","$642,500 ","$617,000 ","$660,000 "
LARA,Lara,"$325,000 ","$327,500 ","$335,000 ","$350,000 ","$340,000 ","$348,000 ","$355,000 ","$430,000 ","$515,000 ","$495,000 ","$535,000 "
LARA LAKE,Lara Lake,"$340,000 ","$355,000 ","$355,000 ","$363,500 ","$398,000 ","$375,000 ","$395,000 ","$450,500 ","$525,000 ","$535,500 ","$575,000 "
LAUNCHING PLACE,Launching Place,"$355,000 ","$343,500 ","$340,000 ","$330,000 ","$337,500 ","$366,000 ","$435,000 ","$490,000 ","$531,000 ","$554,000 ","$572,500 "
LAVERTON,Laverton,"$352,000 ","$340,000 ","$320,000 ","$325,000 ","$358,000 ","$377,500 ","$429,000 ","$535,000 ","$579,000 ","$529,000 ","$560,000 "
LAVERTON SOUTH,Laverton South,"$410,000 ","$400,000 ","$390,500 ","$391,500 ","$422,500 ","$450,000 ","$528,500 ","$610,500 ","$646,000 ","$622,500 ","$647,500 "
LEITCHVILLE,Leitchville,"$112,500 ","$67,500 ","$145,000 ","$98,000 ","$67,500 ","$100,000 ","$126,500 ","$100,000 ","$109,500 ","$106,000 ","$123,500 "
LENEVA,Leneva,"$394,000 ","$362,000 ","$382,000 ","$361,500 ","$372,500 ","$370,500 ","$376,000 ","$397,500 ","$387,500 ","$426,000 ","$477,500 "
LEONGATHA,Leongatha,"$285,000 ","$282,500 ","$289,000 ","$300,000 ","$295,500 ","$305,000 ","$305,000 ","$320,000 ","$360,000 ","$368,500 ","$420,000 "
LEOPOLD,Leopold,"$346,000 ","$340,000 ","$350,000 ","$360,000 ","$366,500 ","$365,000 ","$407,000 ","$447,000 ","$500,500 ","$510,000 ","$535,000 "
LILYDALE,Lilydale,"$438,500 ","$456,000 ","$420,000 ","$469,000 ","$480,000 ","$534,000 ","$633,500 ","$710,500 ","$706,500 ","$676,000 ","$720,000 "
LINTON,Linton,"$152,500 ","$168,500 ","$187,500 ","$163,500 ","$208,000 ","$152,000 ","$202,500 ","$255,000 ","$236,500 ","$256,500 ","$337,500 "
LISMORE,Lismore,"$110,000 ","$145,000 ","$132,500 ","$110,000 ","$109,000 ","$115,000 ","$141,500 ","$155,000 ","$132,500 ","$144,500 ","$220,000 "
LOCH SPORT,Loch Sport,"$170,000 ","$165,000 ","$165,000 ","$166,000 ","$153,500 ","$145,000 ","$178,000 ","$182,000 ","$230,000 ","$244,000 ","$247,000 "
LONG GULLY,Long Gully,"$210,000 ","$220,000 ","$220,000 ","$230,000 ","$255,000 ","$244,000 ","$240,000 ","$256,000 ","$269,000 ","$280,000 ","$299,500 "
LONGWARRY,Longwarry,"$262,500 ","$275,000 ","$286,500 ","$289,500 ","$297,500 ","$307,000 ","$334,000 ","$377,000 ","$403,000 ","$406,000 ","$427,500 "
LORNE,Lorne,"$800,000 ","$840,000 ","$800,000 ","$840,000 ","$815,000 ","$895,000 ","$765,000 ","$1,150,000 ","$1,275,000 ","$1,295,000 ","$1,460,000 "
LOVELY BANKS,Lovely Banks,"$365,000 ","$385,500 ","$402,000 ","$360,500 ","$406,500 ","$388,500 ","$470,000 ","$460,000 ","$525,000 ","$570,000 ","$563,500 "
LOWER PLENTY,Lower Plenty,"$650,000 ","$587,500 ","$615,000 ","$680,500 ","$675,000 ","$770,000 ","$900,000 ","$980,000 ","$1,055,000 ","$950,000 ","$905,000 "
LUCKNOW,Lucknow,"$234,000 ","$247,500 ","$200,000 ","$235,000 ","$229,000 ","$230,000 ","$244,500 ","$261,500 ","$280,000 ","$275,000 ","$314,500 "
LYNBROOK,Lynbrook,"$412,000 ","$424,500 ","$415,000 ","$430,000 ","$460,000 ","$500,000 ","$542,500 ","$595,000 ","$640,000 ","$623,000 ","$660,000 "
LYNDHURST,Lyndhurst,"$435,000 ","$440,500 ","$450,000 ","$465,000 ","$482,500 ","$550,000 ","$585,000 ","$625,000 ","$695,000 ","$665,500 ","$701,500 "
LYSTERFIELD,Lysterfield,"$640,000 ","$642,500 ","$643,500 ","$681,500 ","$670,000 ","$780,000 ","$857,500 ","$995,500 ","$976,500 ","$956,500 ","$1,009,500 "
MACEDON,Macedon,"$473,000 ","$434,500 ","$525,000 ","$490,000 ","$460,000 ","$532,500 ","$585,000 ","$696,000 ","$815,000 ","$800,000 ","$883,000 "
MACLEOD,Macleod,"$645,000 ","$600,000 ","$555,000 ","$647,500 ","$705,000 ","$755,000 ","$868,000 ","$950,000 ","$922,500 ","$922,500 ","$970,000 "
MADDINGLEY,Maddingley,"$292,500 ","$300,000 ","$308,000 ","$316,500 ","$320,000 ","$332,500 ","$346,000 ","$395,000 ","$442,000 ","$460,000 ","$520,000 "
MAFFRA,Maffra,"$230,500 ","$230,000 ","$235,000 ","$229,000 ","$215,000 ","$230,000 ","$258,000 ","$251,500 ","$261,500 ","$255,000 ","$315,000 "
MAIDEN GULLY,Maiden Gully,"$385,000 ","$408,500 ","$422,500 ","$440,000 ","$415,000 ","$430,000 ","$477,000 ","$471,000 ","$495,500 ","$514,000 ","$585,000 "
MAIDSTONE,Maidstone,"$563,500 ","$540,000 ","$499,000 ","$535,000 ","$587,500 ","$630,000 ","$695,000 ","$825,000 ","$798,500 ","$790,000 ","$780,000 "
MALDON,Maldon,"$280,000 ","$267,500 ","$272,500 ","$315,000 ","$325,000 ","$339,000 ","$395,000 ","$426,500 ","$420,000 ","$510,000 ","$545,000 "
MALLACOOTA,Mallacoota,"$300,000 ","$263,000 ","$267,500 ","$285,000 ","$285,000 ","$288,500 ","$322,500 ","$345,000 ","$280,000 ","$406,500 ","$407,500 "
MALMSBURY,Malmsbury,"$314,000 ","$300,000 ","$332,500 ","$292,500 ","$317,500 ","$397,500 ","$344,000 ","$447,000 ","$462,000 ","$475,000 ","$470,000 "
MALVERN,Malvern,"$1,741,500 ","$1,542,500 ","$1,550,000 ","$1,508,500 ","$1,946,000 ","$2,230,000 ","$2,328,500 ","$2,750,000 ","$2,661,000 ","$2,570,000 ","$2,748,000 "
MALVERN EAST,Malvern East,"$1,188,000 ","$1,120,000 ","$1,039,000 ","$1,200,000 ","$1,380,000 ","$1,610,000 ","$1,729,000 ","$1,824,000 ","$1,900,000 ","$1,789,000 ","$1,865,000 "
MANIFOLD HEIGHTS,Manifold Heights,"$401,000 ","$449,000 ","$425,000 ","$532,500 ","$489,000 ","$489,500 ","$620,000 ","$721,500 ","$785,500 ","$715,000 ","$815,000 "
MANOR LAKES,Manor Lakes,"$348,500 ","$360,000 ","$345,000 ","$340,500 ","$360,000 ","$385,000 ","$417,500 ","$490,000 ","$526,000 ","$533,000 ","$570,000 "
MANSFIELD,Mansfield,"$280,000 ","$301,500 ","$315,000 ","$364,000 ","$347,000 ","$367,500 ","$359,000 ","$385,000 ","$430,000 ","$450,000 ","$510,000 "
MARIBYRNONG,Maribyrnong,"$705,000 ","$645,000 ","$646,000 ","$714,000 ","$750,500 ","$837,500 ","$940,000 ","$1,056,000 ","$1,028,500 ","$961,500 ","$935,000 "
MARONG,Marong,"$257,500 ","$285,000 ","$312,500 ","$310,000 ","$345,000 ","$364,000 ","$330,000 ","$348,000 ","$365,000 ","$420,000 ","$465,000 "
MARSHALL,Marshall,"$367,500 ","$322,500 ","$365,000 ","$360,000 ","$382,500 ","$377,000 ","$400,000 ","$430,000 ","$468,000 ","$486,500 ","$510,000 "
MARYBOROUGH,Maryborough,"$160,000 ","$180,000 ","$184,000 ","$194,000 ","$200,000 ","$192,500 ","$206,500 ","$194,000 ","$229,500 ","$236,000 ","$267,000 "
MARYSVILLE,Marysville,"$340,000 ","$395,500 ","$145,000 ","$180,000 ","$125,000 ","$320,000 ","$332,500 ","$383,000 ","$477,500 ","$462,500 ","$465,000 "
MCCRAE,Mccrae,"$560,000 ","$623,000 ","$555,000 ","$530,000 ","$535,000 ","$597,500 ","$689,000 ","$775,000 ","$847,500 ","$795,000 ","$952,500 "
MCKENZIE HILL,Mckenzie Hill,"$350,000 ","$394,000 ","$465,000 ","$397,000 ","$140,000 ","$429,500 ","$475,000 ","$471,500 ","$495,000 ","$536,500 ","$544,500 "
MCKINNON,Mckinnon,"$970,000 ","$925,000 ","$944,000 ","$1,025,000 ","$1,220,000 ","$1,500,000 ","$1,657,500 ","$1,720,000 ","$1,555,000 ","$1,516,000 ","$1,680,000 "
